id,permit_id,city,property_address,city_name,zip_code,permit_type,description,status,issued_date,applicant_name,contractor_name,estimated_value,lead_type,lead_subtypes,categorization_confidence,scraped_at
1540,25004510,grapevine,"3431 Marsh Ln., Grapevine TX",Grapevine,,Mechanical,Mechanical,Issued,2025-12-01,,,17397,,,,2025-12-02 12:35:50.292143
597,PB25-16479,fort_worth,"10836 TALL OAK DR, Fort Worth TX 76108",Fort Worth,,Residential Remodel,JASMINE SUGGS,Issued,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:34.453413
596,PB25-16490,fort_worth,"4524 TRUELAND DR, Fort Worth TX 76119",Fort Worth,,Residential Remodel,DANIEL JASSO,Plan Review,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:34.453071
595,PB25-16493,fort_worth,"1325 E RAMSEY AVE, Fort Worth TX 76104",Fort Worth,,Residential Remodel,JBJ,Issued,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:34.452739
594,PB25-16499,fort_worth,"4329 LORIN AVE, Fort Worth TX 76105",Fort Worth,,Residential Remodel,Barbara Flores,Issued,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:34.452395
593,PB25-16523,fort_worth,"4101 YANCEY LN, Fort Worth TX 76244",Fort Worth,,Residential Remodel,4101 Yancey,Pending,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:34.452039
592,PB25-16496,fort_worth,"6909 SHADOW CREEK CT, Fort Worth TX 76132",Fort Worth,,Residential Remodel,Arthur Dickerson,Pending,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:34.451674
591,PB25-16477,fort_worth,"14233 TIJUANA TRL, Fort Worth TX 76052",Fort Worth,,Residential Remodel,SUNRUN INSTALLATION SERVICES INC,Pending,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:31.226958
590,PB25-16485,fort_worth,"2000 ROBERTS CUT OFF RD, Fort Worth TX 76114",Fort Worth,,Residential Remodel,The Light Group USA,Pending,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:31.226510
589,PB25-16468,fort_worth,"7124 MARTHA LN, Fort Worth TX 76112",Fort Worth,,Residential Remodel,GL Hunt Company Inc.,Pending,2025-12-01,,,,other,[],0.5,2025-12-02 04:40:31.225986
