id,permit_id,city,address,type,description,contractor,issued_date
60212,PB25-17038,fort worth,"3733 JADE ST, Fort Worth TX 76244",Residential Remodel Construction Permit,,,2025-12-12
60234,25TMP-109328,fort worth,"15864 MIRASOL DR, Fort Worth TX 76177",Residential Remodel Reroof Permit,,,2025-12-12
58929,RES-ACC-25-000935,dallas,"7823 UMPHRESS RD, Dallas TX 75217",Residential Accessory Structure Permit,Rear fence currently has metal R Panel we will be converting it to cedar to meet code requirements at 8 feet in height.,,2025-12-12
60230,25TMP-109271,fort worth,United States,Residential Remodel Construction Permit,,,2025-12-12
58924,25TMP-145506,dallas,"8357 SAN CRISTOBAL DR, Dallas TX 75218",Residential New Construction Permit,"2 STORY SINGLE FAMILY HOME PROPOSED SQUARE FOOTAGE: PROP 1ST STORY LIVING AREA 2,895 SF PROP 2ND STORY LIVING AREA 2,710 SF GARAGE AREA 796 SF PORCH 56 SF 241 SF TOTAL 6,698 SF TOTAL LOT COVERAGE AREA 3,988 SF % PROPOSED COVERAGE 36.92%",,2025-12-12
58918,RES-NEW-25-001436,dallas,"16733 VILLAGE LN, Dallas TX 75248",Residential New Construction Permit,New Construction on an existing lot - previous house razed. Existing utilities remain - water and gas. Power to be added,,2025-12-12
58914,RES-PLM-25-008790,dallas,"2315 RIVERWAY DR, Dallas TX 75227",Residential Plumbing Permit,"We are replacing 2 shower pans, 2 shower valves, 2 lavatory faucets and ptraps, kitchen faucet and ptrap, disposal, icemaker box, and laundry box. We are replacing 2 toilets and performing a gas test.",,2025-12-12
58935,RES-PLM-25-008782,dallas,"7555 BAXTERSHIRE DR, Dallas TX 75230",Residential Plumbing Permit,Sewer line repair 5' tunnel 5' pipe replaced access garage,,2025-12-12
58934,COM-ALT-ADD-25-001913,dallas,"8350 N CENTRAL EXPY, 720, Dallas TX 75206",Commercial Alteration Addition Permit,Interior remodel of existing office space & corridor extension,,2025-12-12
60202,PB25-17035,fort worth,"421 SHADOWGRASS AVE, Fort Worth TX 76120",Residential Remodel Construction Permit,,,2025-12-12
60227,25TMP-109041,fort worth,"3509 SOUTH HILLS AVE, Fort Worth TX 76109",Commercial Remodel Building Permit,,,2025-12-12
60365,PB25-17011,fort worth,"1201 ROARING SPRINGS RD, FORT WORTH TX 76114",Residential Remodel Construction Permit,,,2025-12-11
60360,PB25-17006,fort worth,"9312 GRANGER LN, Fort Worth TX 76244",Residential Accessory Remodel Permit,,,2025-12-11
60531,PB25-16989,fort worth,"505 ALTA DR, Fort Worth TX 76107",Residential Remodel Construction Permit,,,2025-12-11
60532,PB25-16988,fort worth,"505 ALTA DR, Fort Worth TX 76107",Residential Addition Permit,,,2025-12-11
60525,PB25-16994,fort worth,"10001 OLD BURLESON RD, Fort Worth TX 76140 United States",Commercial Remodel Accessory Structure,,,2025-12-11
60520,PB25-17008,fort worth,"4213 CHESTNUT ST, Fort Worth TX 76137",Residential Remodel Construction Permit,,,2025-12-11
60517,PB25-17013,fort worth,"3744 E 1ST ST, Fort Worth TX 76111",Residential Remodel Construction Permit,,,2025-12-11
